団体コード,総数,100歳以上
245402,16585,15
245437,16585,15
245607,20236,21
245615,8924,10
245623,11312,11
250007,1395217,631
252018,338546,158
252026,110600,39
252034,117065,68
252042,81021,34
252069,129735,40
252077,81158,19
252085,67256,15
252093,88988,50
252107,50459,24
252115,52710,13
252123,49900,43
252131,112479,56
252140,39231,31
253804,33503,23
253839,21435,16
253847,12068,7
254207,20529,7
254258,20529,7
254401,22037,11
254410,7248,3
254428,7215,1
254436,7574,7
260002,2515005,1539
261009,1375773,839
261017,108728,86
261025,74089,74
261033,149184,109
261041,103150,75
261050,35266,40
261068,74984,56
261076,93959,56
261084,190487,90
261092,268576,136
261106,128947,59
261114,148403,58
262013,78718,61
262021,84172,72
262030,34130,44
262048,185940,79
262056,18614,24
262064,89605,42
262072,77023,27
262081,55287,24
262099,80153,34
262102,71141,34
262111,67392,29
262129,56417,72
262137,32427,28
262145,74654,29
263001,15591,6
263036,15591,6
263206,15846,8
263222,15846,8
263401,16869,6
263435,7535,3
263443,9334,3
263605,45760,19
263648,1425,3
263656,4153,2
263664,37321,14
263672,2861,0
264008,14750,23
264075,14750,23
264601,24743,39
264636,2204,7
264652,22539,32
270008,8646380,3417
271004,2565982,993
271021,101003,35
271039,70859,10
271047,65902,20
271063,90378,29
271071,79251,43
271080,65428,28
271098,70658,21
271110,58041,16
271136,93789,21
271144,164839,59
271152,74513,33
271161,99979,63
271179,88726,44
271187,163499,72
271195,105844,58
271209,149815,65
271217,127426,75
271225,100347,50
271233,168898,68
271241,111251,31
271250,120032,38
271268,190853,49
271276,115350,34
271284,89301,31
271403,831261,334
271411,142622,76
271420,123724,52
271438,86368,40
271446,137417,43
271454,145070,61
271462,157313,49
271471,38747,13
272027,195915,64
272035,398937,145
272043,101570,68
272051,364938,134
272060,74358,22
272078,351269,153
272086,88109,32
272094,141620,56
272108,400948,150
272116,277680,99
272124,261562,104
272132,99384,33
272141,112934,47
272159,234665,89
272167,107954,54
272175,120107,51
272183,119688,31
272191,184646,55
272205,134212,71
272213,69581,34
272221,112487,54
272230,121879,37
272248,84214,30
272256,57667,35
272264,65182,21
272272,476959,199
272281,62746,23
272299,55530,23
272302,77422,31
272311,57694,28
272329,55641,27
273007,30490,14
273015,30490,14
273201,30911,31
273210,20362,22
273228,10549,9
273406,16924,7
273414,16924,7
273601,68467,25
273619,43839,16
273627,8473,1
273660,16155,8
273805,34847,13
273813,13648,2
273821,15724,7
273830,5475,4
280003,5506465,2683
281000,1501113,721
281018,208729,86
281026,128792,79
281051,103855,54
281069,92869,52
281077,160287,86
281085,221636,116
281093,219893,112
281107,120886,58
281115,244166,78
282014,529626,200
282022,452081,148
282031,295776,116
282049,479440,211
282057,45120,47
282065,94706,65
282073,198815,62
282081,29841,26
282090,83369,77
282103,266018,74
282120,48737,30
282138,41251,33
282146,231407,131
282154,77647,47
282162,91695,26
282171,158466,75
282189,48471,12
282197,112731,32
282201,44250,39
282219,42086,35
282227,24666,27
282235,65352,59
282243,48407,50
282251,31236,28
282260,45040,69
282278,39166,26
282286,39392,18
282294,77787,36
283002,31570,17
283011,31570,17
283606,21507,14
283657,21507,14
283801,65429,25
283819,31129,13
283827,34300,12
284408,43498,28
284424,12569,8
284432,19109,11
284467,11820,9
284602,34112,9
284645,34112,9
284807,15476,10
284815,15476,10
285005,17609,18
285013,17609,18
285803,33572,42
285854,18513,24
285862,15059,18
290009,1368900,760
292010,357465,215
292028,66227,21
292036,87055,45
292044,65763,36
292052,122596,50
292061,58051,32
292079,31638,26
292087,26815,35
292095,119809,48
292109,78542,28
292117,36882,13
292125,31450,27
293202,3720,3
293229,3720,3
293407,77840,36
293423,19145,8
293431,23097,15
293440,28150,11
293458,7448,2
293601,47662,25
293610,8533,4
293628,7007,4
293636,32122,17
293806,3282,8
293857,1528,3
293865,1754,5
294004,12671,10
294012,6989,6
294021,5682,4
294209,99032,54
294241,22734,19
294250,23431,9
294268,34812,13
294276,18055,13
294403,42400,48
294411,7567,9
294420,18056,15
294438,5771,7
294446,742,0
294462,1484,2
294471,429,1
294497,3477,6
294501,966,3
294519,544,1
294527,1493,1
294535,1871,3
300004,978540,652
302015,369721,204
302023,52375,52
302031,64109,39
302040,29107,22
302058,24089,11
302066,76245,55
302074,29663,32
302082,64201,32
302091,53595,24
303003,9345,15
303046,9345,15
303402,25059,24
303411,17342,17
303437,4502,5
303445,3215,2
303607,46784,31
303615,12454,6
303623,7278,6
303666,27052,19
303801,53273,42
303810,7463,10
303828,7938,3
303836,6073,2
303909,8496,4
303917,13199,8
303925,10104,15
304000,41621,31
304018,21884,19
304042,15511,8
304069,4226,4
304204,39353,38
304212,15853,13
304221,3254,2
304247,2842,4
304271,453,0
304280,16951,19
310000,571173,477
312011,189702,151
312029,148190,101
312037,48078,52
312045,34375,18
313009,11778,15
313025,11778,15
313203,28354,30
313254,3377,5
313289,7348,15
313297,17629,10
313602,56838,53
313645,6662,9
313700,17006,10
313718,17875,19
313726,15295,15
313807,42524,45
313840,3485,1
313866,16725,25
313891,11120,12
313904,11194,7
314005,11334,12
314013,4911,4
314021,3333,3
314030,3090,5
320005,689603,675
322016,203114,145
322024,55421,59
322032,171940,141
322041,47694,43
322059,35760,46
322067,39774,37
322075,24027,27
322091,39755,53
323403,13207,20
323438,13207,20
323802,5050,8
323861,5050,8
324400,19476,53
324418,3410,8
324485,4940,14
324493,11126,31
325007,13963,19
325015,7703,11
325058,6260,8
325201,20422,24
325252,2294,2
325261,2908,3
325279,602,0
325287,14618,19
330001,1903779,1312
331007,697437,363
331015,288982,155
331023,144436,81
331031,95430,60
331040,168589,67
332020,478652,257
332038,102189,77
332046,60687,32
332054,49951,64
332071,41147,44
332089,67209,49
332097,31249,52
332101,30583,40
332119,35321,27
332127,37537,28
332135,44296,26
